,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
349,in,accordance,with,your,wish,to,our,noble,king,,,,,,,,,,
350,our,dear,lord,friend,of,the,danes,,,,,,,,,,,,
351,the,giver,of,rings,i,will,go,and,ask,him,,,,,,,,,
352,about,your,coming,here,then,hurry,back,,,,,,,,,,,,
353,with,whatever,reply,it,pleases,him,to,give,,,,,,,,,,,
354,with,that,he,turned,to,where,hrothgar,sat,,,,,,,,,,,
355,an,old,man,among,retainers,,,,,,,,,,,,,,
356,the,valiant,follower,stood,foursquare,,,,,,,,,,,,,,
357,in,front,of,his,king,he,knew,the,courtesies,,,,,,,,,,
358,wulfgar,addressed,his,dear,lord,360,,,,,,,,,,,,,
359,people,from,geatland,have,put,ashore,,,,,,,,,,,,,
360,they,have,sailed,far,over,the,wide,sea,,,,,,,,,,,
361,they,call,the,chief,in,charge,of,their,band,,,,,,,,,,
362,by,the,name,of,beowulf,they,beg,my,lord,,,,,,,,,,
363,an,audience,with,you,exchange,of,words,,,,,,,,,,,,
364,and,formal,greeting,most,gracious,hrothgar,,,,,,,,,,,,,
365,do,not,refuse,them,but,grant,them,a,reply,,,,,,,,,,
366,from,their,arms,and,appointment,they,appear,wellborn,,,,,,,,,,,
367,and,worthy,of,respect,especially,the,one,,,,,,,,,,,,
368,who,has,led,them,this,far,he,is,formidable,indeed,370,,,,,,,,
369,hrothgar,protector,of,shieldings,replied,,,,,,,,,,,,,,
370,i,used,to,know,him,when,i,was,a,young,boy,,,,,,,,
371,his,father,before,him,was,called,ecgtheow,,,,,,,,,,,,
372,hrethel,the,greath,gave,ecgtheow,,,,,,,,,,,,,,
373,his,daughter,in,marriage,this,man,is,their,son,,,,,,,,,,
374,here,to,follow,up,an,old,friendship,,,,,,,,,,,,
375,a,crew,of,seamen,who,sailed,for,me,once,,,,,,,,,,
376,with,a,giftcargo,across,to,geatland,,,,,,,,,,,,,
377,returned,with,marvelous,tales,about,him,,,,,,,,,,,,,
378,a,thane,they,declared,with,the,strength,of,thirty,380,,,,,,,,,
379,in,the,grip,of,each,hand,now,holy,god,,,,,,,,,,
380,has,in,his,goodness,guided,him,here,,,,,,,,,,,,
381,to,the,westdanes,to,defend,us,from,grendel,,,,,,,,,,,
382,this,is,my,hope,and,for,his,heroism,,,,,,,,,,,
383,i,will,recompense,him,with,a,rich,treasure,,,,,,,,,,,
384,go,immediately,bid,him,and,the,geats,,,,,,,,,,,,
